COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
LVA,,ALL,1988,
LTU,,ALL,1988,
LUX,,ALL,1988,
MLT,,ALL,1988,
MCO,,ALL,1988,
MNE,,ALL,1988,
NLD,,ALL,1988,
NOR,,ALL,1988,
POL,,ALL,1988,
PRT,,ALL,1988,7
MDA,,ALL,1988,
ROU,,ALL,1988,
RUS,,ALL,1988,
SMR,,ALL,1988,
SRB,,ALL,1988,
SVK,,ALL,1988,
SVN,,ALL,1988,
ESP,,ALL,1988,
SWE,,ALL,1988,
CHE,,ALL,1988,
TJK,,ALL,1988,
MKD,,ALL,1988,
TUR,,ALL,1988,
TKM,,ALL,1988,
UKR,,ALL,1988,
GBR,,ALL,1988,
UZB,,ALL,1988,
,WHO_EURO,ALL,1988,
,EU_BEFORE_MAY2004,ALL,1988,
,EU_AFTER_MAY2004,ALL,1988,
,CIS,ALL,1988,
,CARINFONET,ALL,1988,
,SEEHN,ALL,1988,
,NORDIC,ALL,1988,
,SMALL,ALL,1988,
ALB,,ALL,1989,
AND,,ALL,1989,
ARM,,ALL,1989,
AUT,,ALL,1989,8
AZE,,ALL,1989,
BLR,,ALL,1989,49
BEL,,ALL,1989,
BIH,,ALL,1989,
BGR,,ALL,1989,
HRV,,ALL,1989,
CYP,,ALL,1989,24
CZE,,ALL,1989,
DNK,,ALL,1989,4
EST,,ALL,1989,
FIN,,ALL,1989,
FRA,,ALL,1989,
GEO,,ALL,1989,
DEU,,ALL,1989,
GRC,,ALL,1989,
HUN,,ALL,1989,
ISL,,ALL,1989,
IRL,,ALL,1989,
ISR,,ALL,1989,
ITA,,ALL,1989,
KAZ,,ALL,1989,
KGZ,,ALL,1989,55
LVA,,ALL,1989,
LTU,,ALL,1989,
LUX,,ALL,1989,
MLT,,ALL,1989,
MCO,,ALL,1989,
MNE,,ALL,1989,
NLD,,ALL,1989,
NOR,,ALL,1989,
POL,,ALL,1989,
PRT,,ALL,1989,7
MDA,,ALL,1989,
ROU,,ALL,1989,
RUS,,ALL,1989,
SMR,,ALL,1989,
SRB,,ALL,1989,
SVK,,ALL,1989,
SVN,,ALL,1989,
ESP,,ALL,1989,
SWE,,ALL,1989,
CHE,,ALL,1989,
TJK,,ALL,1989,
MKD,,ALL,1989,
TUR,,ALL,1989,
TKM,,ALL,1989,
UKR,,ALL,1989,
GBR,,ALL,1989,
UZB,,ALL,1989,
,WHO_EURO,ALL,1989,
,EU_BEFORE_MAY2004,ALL,1989,
,EU_AFTER_MAY2004,ALL,1989,
,CIS,ALL,1989,
,CARINFONET,ALL,1989,
,SEEHN,ALL,1989,
,NORDIC,ALL,1989,
,SMALL,ALL,1989,
ALB,,ALL,1990,
AND,,ALL,1990,
ARM,,ALL,1990,
AUT,,ALL,1990,8
AZE,,ALL,1990,61
BLR,,ALL,1990,50
BEL,,ALL,1990,
BIH,,ALL,1990,
BGR,,ALL,1990,
HRV,,ALL,1990,
CYP,,ALL,1990,25
CZE,,ALL,1990,
DNK,,ALL,1990,4
EST,,ALL,1990,
FIN,,ALL,1990,
FRA,,ALL,1990,10
GEO,,ALL,1990,
DEU,,ALL,1990,
GRC,,ALL,1990,22
HUN,,ALL,1990,
ISL,,ALL,1990,
IRL,,ALL,1990,
ISR,,ALL,1990,
ITA,,ALL,1990,
KAZ,,ALL,1990,52
KGZ,,ALL,1990,54
LVA,,ALL,1990,49
LTU,,ALL,1990,
LUX,,ALL,1990,
MLT,,ALL,1990,
MCO,,ALL,1990,
MNE,,ALL,1990,22
NLD,,ALL,1990,7
NOR,,ALL,1990,
POL,,ALL,1990,
PRT,,ALL,1990,7
MDA,,ALL,1990,
ROU,,ALL,1990,
RUS,,ALL,1990,
SMR,,ALL,1990,
SRB,,ALL,1990,
SVK,,ALL,1990,
SVN,,ALL,1990,
ESP,,ALL,1990,
SWE,,ALL,1990,
CHE,,ALL,1990,10
TJK,,ALL,1990,
MKD,,ALL,1990,13
TUR,,ALL,1990,
TKM,,ALL,1990,
UKR,,ALL,1990,
GBR,,ALL,1990,
UZB,,ALL,1990,
,WHO_EURO,ALL,1990,
,EU_BEFORE_MAY2004,ALL,1990,
,EU_AFTER_MAY2004,ALL,1990,
,CIS,ALL,1990,
,CARINFONET,ALL,1990,
,SEEHN,ALL,1990,
,NORDIC,ALL,1990,
,SMALL,ALL,1990,
ALB,,ALL,1991,
AND,,ALL,1991,
ARM,,ALL,1991,
AUT,,ALL,1991,9
AZE,,ALL,1991,60
BLR,,ALL,1991,46
BEL,,ALL,1991,
BIH,,ALL,1991,
BGR,,ALL,1991,
HRV,,ALL,1991,
CYP,,ALL,1991,25
CZE,,ALL,1991,
DNK,,ALL,1991,4
EST,,ALL,1991,
FIN,,ALL,1991,
FRA,,ALL,1991,10
GEO,,ALL,1991,
DEU,,ALL,1991,11
GRC,,ALL,1991,22
HUN,,ALL,1991,
ISL,,ALL,1991,
IRL,,ALL,1991,
ISR,,ALL,1991,
ITA,,ALL,1991,
KAZ,,ALL,1991,52
KGZ,,ALL,1991,57
LVA,,ALL,1991,
LTU,,ALL,1991,
LUX,,ALL,1991,
MLT,,ALL,1991,
MCO,,ALL,1991,
MNE,,ALL,1991,26
NLD,,ALL,1991,6
NOR,,ALL,1991,
POL,,ALL,1991,
PRT,,ALL,1991,8
MDA,,ALL,1991,
ROU,,ALL,1991,
RUS,,ALL,1991,
SMR,,ALL,1991,
SRB,,ALL,1991,
SVK,,ALL,1991,
SVN,,ALL,1991,
ESP,,ALL,1991,
SWE,,ALL,1991,
CHE,,ALL,1991,11
TJK,,ALL,1991,
MKD,,ALL,1991,15
TUR,,ALL,1991,
TKM,,ALL,1991,
UKR,,ALL,1991,
GBR,,ALL,1991,
UZB,,ALL,1991,
,WHO_EURO,ALL,1991,
,EU_BEFORE_MAY2004,ALL,1991,
,EU_AFTER_MAY2004,ALL,1991,
,CIS,ALL,1991,
,CARINFONET,ALL,1991,
,SEEHN,ALL,1991,
,NORDIC,ALL,1991,
,SMALL,ALL,1991,
ALB,,ALL,1992,
AND,,ALL,1992,
ARM,,ALL,1992,
AUT,,ALL,1992,9
AZE,,ALL,1992,55
BLR,,ALL,1992,46
BEL,,ALL,1992,
BIH,,ALL,1992,
BGR,,ALL,1992,
HRV,,ALL,1992,
CYP,,ALL,1992,27
CZE,,ALL,1992,
DNK,,ALL,1992,4
EST,,ALL,1992,
FIN,,ALL,1992,
FRA,,ALL,1992,10
GEO,,ALL,1992,
DEU,,ALL,1992,11
GRC,,ALL,1992,23
HUN,,ALL,1992,
ISL,,ALL,1992,
IRL,,ALL,1992,
ISR,,ALL,1992,
ITA,,ALL,1992,
KAZ,,ALL,1992,55
KGZ,,ALL,1992,56
LVA,,ALL,1992,39
LTU,,ALL,1992,47
LUX,,ALL,1992,
MLT,,ALL,1992,
MCO,,ALL,1992,
MNE,,ALL,1992,27
NLD,,ALL,1992,6
NOR,,ALL,1992,
POL,,ALL,1992,
PRT,,ALL,1992,8
MDA,,ALL,1992,
ROU,,ALL,1992,
RUS,,ALL,1992,26
SMR,,ALL,1992,
SRB,,ALL,1992,
SVK,,ALL,1992,
SVN,,ALL,1992,
ESP,,ALL,1992,
SWE,,ALL,1992,
CHE,,ALL,1992,10
TJK,,ALL,1992,50
MKD,,ALL,1992,16
TUR,,ALL,1992,
TKM,,ALL,1992,
UKR,,ALL,1992,
GBR,,ALL,1992,
UZB,,ALL,1992,
,WHO_EURO,ALL,1992,
,EU_BEFORE_MAY2004,ALL,1992,
,EU_AFTER_MAY2004,ALL,1992,
,CIS,ALL,1992,34
,CARINFONET,ALL,1992,50
,SEEHN,ALL,1992,
,NORDIC,ALL,1992,
,SMALL,ALL,1992,
ALB,,ALL,1993,
AND,,ALL,1993,
ARM,,ALL,1993,
AUT,,ALL,1993,9
AZE,,ALL,1993,58
BLR,,ALL,1993,45
BEL,,ALL,1993,
BIH,,ALL,1993,
BGR,,ALL,1993,
HRV,,ALL,1993,
CYP,,ALL,1993,29
CZE,,ALL,1993,
DNK,,ALL,1993,4
EST,,ALL,1993,
FIN,,ALL,1993,
FRA,,ALL,1993,11
GEO,,ALL,1993,
DEU,,ALL,1993,11
GRC,,ALL,1993,23
HUN,,ALL,1993,
ISL,,ALL,1993,
IRL,,ALL,1993,
ISR,,ALL,1993,
ITA,,ALL,1993,
KAZ,,ALL,1993,55
KGZ,,ALL,1993,52
LVA,,ALL,1993,35
LTU,,ALL,1993,47
LUX,,ALL,1993,
MLT,,ALL,1993,
MCO,,ALL,1993,
MNE,,ALL,1993,27
NLD,,ALL,1993,6
NOR,,ALL,1993,8
POL,,ALL,1993,
PRT,,ALL,1993,10
MDA,,ALL,1993,
ROU,,ALL,1993,
RUS,,ALL,1993,26
SMR,,ALL,1993,
SRB,,ALL,1993,
SVK,,ALL,1993,
SVN,,ALL,1993,
ESP,,ALL,1993,
SWE,,ALL,1993,
